Building_Name,Bedroom,Bathroom,price,Price_bracket,Developer,Facilities,Tenure_Type,Completion_Year,No_of_Floors,Total_Units,Parking_Lot,Floor_Range,Land_Title,Nearby_Train,Railway_Station,Bus_Stop_Availability,Bus_Stop,Mall_Availability,Mall,Park_Avalilability,Park,School_Availabilty,School,Street,City,State
Molek Regency,2,2,"515,000",Below 750K,ALPHA ASTRAL REALTY SDN BHD,"Gymnasium, Multipurpose hall, Parking, Security, Swimming Pool, Playground, Tennis Court, Squash Court, Jogging Track, Barbeque area, Sauna, Lift",Freehold,2018,-,1050,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Molek 3/20,Taman Molek,Johor
Lily & Jasmine,3,2,"210,000",Below 250K,-,-,Leasehold,-,4,-,-,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman Tampoi Indah,Johor Bahru,Johor
Prima Regency Service Apartment,3,2,"298,000",Below 500K,-,-,Freehold,-,4,-,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Masai Baru,Plentong,Johor
D'Inspire Residence @ Nusa Bestari,3,2,"418,000",Below 500K,Khoo Soon Lee Realty Sdn. Bhd.,"Club house, Parking, Security, Minimart, Lift, Sauna, Squash Court, Jogging Track, Multipurpose hall, Swimming Pool, Gymnasium, Playground, Barbeque area",Freehold,2015,25,585,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman Nusa Bestari,Skudai,Johor
Impian Senibong Residences,3,2,"489,000",Below 500K,TRC Synergy Berhad,"Parking, Sauna, Playground, Minimart, Swimming Pool, Multipurpose hall, Security",Leasehold,-,-,243,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Persiaran Senibong,Masai,Johor
Bandar Selesa Jaya,2,1,"118,000",Below 250K,-,-,Freehold,-,-,-,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Silat Gayong 14,Bandar Selesa Jaya,Johor
Apartment Bukit Saujana,3,2,"229,999",Below 250K,-,"Swimming Pool, Playground, Lift",Leasehold,-,-,-,-,Medium,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Bendara Off Jalan Yahya Awal,Johor Bahru,Johor
R&F Princess Cove,4,3,"1,150,000",Above 1M,R&F Development Sdn Bhd,"Playground, Swimming Pool, Gymnasium, Jogging Track, Parking, Security, Club house, Lift, Minimart, Multipurpose hall, Barbeque area",Freehold,2018,35,3224,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Off Lebuhraya Sultan Iskandar,Tanjung Puteri,Johor
Danga View Apartment,3,4,"520,000",Below 750K,Ekovest Berhad,"Swimming Pool, Jogging Track, Barbeque area, Parking, Minimart, Playground, Tennis Court, Sauna, Security, Gymnasium",Freehold,-,14,319,-,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Persiaran Danga,Kampung Skudai Kiri,Johor
R&F Princess Cove,2,2,"772,090",Below 1M,R&F Development Sdn Bhd,"Security, Playground, Gymnasium, Club house, Swimming Pool, Jogging Track, Parking, Lift, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court",Freehold,2018,35,3224,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Off Lebuhraya Sultan Iskandar,Tanjung Puteri,Johor
Nusa Heights,1,1,"260,000",Below 500K,-,-,Freehold,-,-,-,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Gelang Patah,Iskandar Puteri,Johor
Desa Skudai Apartment,3,2,"330,000",Below 500K,-,-,Freehold,-,-,-,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Sejahtera 1,Skudai,Johor
TriTower Residence @ Johor Bahru Sentral,3,3,"399,000",Below 500K,MB Group,"Parking, Minimart, Playground, Security",Freehold,2020,55,360,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Off Bukit Chagar,Johor Bahru,Johor
KSL Residence 2 @ Kangkar Tebrau,1,1,"209,000",Below 250K,KSL Holdings Berhad,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Leasehold,-,-,-,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Kangkar Tebrau,Johor Bahru,Johor
Austin Suites,2,2,"388,000",Below 500K,Mah Sing Group Berhad,"Minimart, Tennis Court, Barbeque area, Security, Playground, Gymnasium, Multipurpose hall, Swimming Pool",Freehold,2014,21,460,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Austin Perdana 1,Johor Bahru,Johor
Kasturi (Johor Bahru),3,2,"290,000",Below 500K,-,"Parking, Security",Freehold,-,-,-,-,Medium,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Dato' Onn Utama,Johor Bahru,Johor
