Building_Name,Bedroom,Bathroom,price,Price_bracket,Developer,Facilities,Tenure_Type,Completion_Year,No_of_Floors,Total_Units,Parking_Lot,Floor_Range,Land_Title,Nearby_Train,Railway_Station,Bus_Stop_Availability,Bus_Stop,Mall_Availability,Mall,Park_Avalilability,Park,School_Availabilty,School,Street,City,State
MiNest Residence,4,3,"518,000",Below 750K,Mi Nest Development Sdn Bhd,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Freehold,2023,44,684,3,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Sinar Sentul,Sentul,Kuala Lumpur
LSH Sentul,3,2,"445,000",Below 500K,Lim Seong Hai Holdings Sdn Bhd,"Gymnasium, Multipurpose hall, Playground, Swimming Pool, Sauna, Barbeque area",Leasehold,2023,38,900,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop Dutaâ€“Ulu Klang Expressway
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop Kg Chubadak Hulu
Bus Stop SMK Batu Muda
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop SMK Batu Muda (Opp)
Bus Stop Kg Chubadak
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop 1 Kg Chubadak Hulu (Utara)
Bus Stop 2 Kg Chubadak Hulu (Utara)",No Mall,,Got Park,"Park 2 at Kuala Lumpur, Malaysia
Park at Taman Kosmo Jaya, Kampung Chubadak Hulu, Kuala Lumpur, 51000, Malaysia",Got School,"Permata Kurnia
SMK Batu Muda
SJK (C) Peng Ming",Lot 30256 & 3952,Jalan Sentul Pasar,Kuala Lumpur
M3 Residency,3,2,"365,000",Below 500K,Mega Planner Jaya Sdn. Bhd.,"Security, Lift, Playground, Swimming Pool, Parking, Gymnasium, Sauna, Minimart, Multipurpose hall",Leasehold,2017,16,412,1,High,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Off Jalan Taman Melati 1/5,Taman Melati,Kuala Lumpur
PPR Desa Rejang,3,2,"170,000",Below 250K,-,-,Leasehold,-,-,-,-,-,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop PPR Desa Rejang
Bus Stop Taman Sri Rampai (Barat)
Bus Stop SMK Taman Sri Rampai
Bus Stop Wisma Felcra
Bus Stop Taman Setapak Jaya (Utara)
Bus Stop D'Rejang Food Court
Bus Stop Jalan 1/26
Bus Stop Petron
Bus Stop Itbm Wangsa Maju (Opp)
Bus Stop Seasons Garden Residence
Bus Stop Taman Megan Setapak
Bus Stop Masjid Abu Ubaidah (Opp)
Bus Stop Abu Ubaidah Mosque
Bus Stop Itbm Wangsa Maju (Timur)
Bus Stop Surau Darul Huda
Bus Stop Sri Ledang Seksyen 10
Bus Stop Sri Rampai Lake
Bus Stop Sri Rampai Park
Bus Stop Rampai Business Park
Bus Stop Flat Sg Bonos
Bus Stop PPR Sungai Bonus",No Mall,,No Park,,Got School,"SMK Taman Seri Rampai
Sekolah Kebangsaan Seri Bonus
Sekolah Kebangsaan Kementah",Persiaran Rejang,Taman Setapak Jaya,Kuala Lumpur
Majestic Maxim,3,2,"340,000",Below 500K,Maxim Holdings,"Parking, Jogging Track, Swimming Pool, Gymnasium, Lift, Barbeque area, Security, Playground",Leasehold,2021,44,2136,1,High,Non Bumi Lot,Got nearby LRT/MRT,MRT Station Taman Connaught (MRT Sungai Buloh-Kajang Line),No Bus Stop,,Got Mall,Cheras Sentral,No Park,,Got School,"SK Seri Anggerik
SMK Orkid Desa
Rocklin Learning Center",Jalan 9/142,Taman Connaught,Kuala Lumpur
OUG Parklane,3,2,"450,000",Below 500K,Akisama Group of companies,"Security, Playground, Parking, Swimming Pool",Freehold,2015,31,4225,2,Medium,Non Bumi Lot,Got nearby LRT/MRT,"KTM Station Seputeh (Komuter Seremban Line)
KTM Station Angkasapuri (Komuter Port Klang Line)",Got Bus Stop,"Bus Stop KL 1284 Wisma Buddist
Bus Stop KL 1179 Saville Residence
Bus Stop KL 1180 Wisma Buddist
Bus Stop KL 1283 Batu 3 1/2 Klang Lama
Bus Stop KL 1285 Saville Residence
Bus Stop KL 1181 Batu 3 1/2 KLang Lama
Bus Stop KL 1282 3Rd Mile Square
Bus Stop KL 1281 Taman Shanghai (Utara)
Bus Stop KL 1183 Taman Shanghai (Utara)
Bus Stop KTM Angkasapuri
Bus Stop 1 Flat Sri Labuan
Bus Stop KL 1188 Wisma Tm Taman Desa
Bus Stop Jalan Desa Utama
Bus Stop Jalan 2/112A
Bus Stop KL 1190 Taman Bukit Desa (Selatan)
Bus Stop KL 1280 Taman Shanghai (Selatan)
Bus Stop KL 1187 Papillion Desahill Condominium
Bus Stop Mid Valley Megamall South Court
Bus Stop KL 1184 Taman Shanghai (Selatan)",Got Mall,Mid Valley Megamall,Got Park,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Got School,Vikas International School,Jalan 1/152,Off Jalan Puchong,Kuala Lumpur
The Resident,3,2,"532,000",Below 750K,-,"Playground, Swimming Pool, Parking, Security, Lift, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track, Minimart, Sauna",Leasehold,2016,-,180,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,Got Park,"Park 2 at Taman Muda, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia
Park 1 at Taman Muda, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia",No School,,Jalan Cempaka 2,Ampang,Kuala Lumpur
MiNest Residence,4,3,"545,000",Below 750K,Mi Nest Development Sdn Bhd,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Freehold,2023,44,684,-,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Sinar Sentul,Sentul,Kuala Lumpur
Desa Putra (Wangsa Maju),4,2,"630,000",Below 750K,-,"Security, Playground, Parking, Lift, Swimming Pool, Gymnasium, Minimart",Leasehold,2007,19,436,1,Low,Bumi Lot,Got nearby LRT/MRT,"LRT Station Sri Rampai (Kelana Jaya Line)
LRT Station Wangsa Maju (Kelana Jaya Line)",Got Bus Stop,Bus Stop Petron,Got Mall,"Alpha Angle
Wangsa Walk Mall",No Park,,Got School,"SK Wangsa Maju Seksyen 1
SMK Zon R1 Wangsa Maju
Wangsa Jaya Primary School
SRA As-Saadah
SK Wangsa Maju Zon R10
SMK Wangsa Maju Seksyen 2",Jalan 58/26,Wangsa Maju,Kuala Lumpur
Seri Mas (Cheras),3,2,"395,000",Below 500K,Amber Resources,"Parking, Swimming Pool, Security, Lift, Minimart",Leasehold,-,18,288,-,Medium,Non Bumi Lot,Got nearby LRT/MRT,"MRT Station Taman Pertama (MRT Sungai Buloh-Kajang Line)
LRT Station Cheras (Sri Petaling Line)
LRT Station Miharja (Ampang Line)",Got Bus Stop,"Bus Stop Flat Sri Johor Blok 33 Jalan Jelawat 2
Bus Stop 1 Velodrom KL
Bus Stop 1 Kompleks Darul Puteri
Bus Stop 2 Kompleks Darul Puteri
Bus Stop 2 Velodrom KL
Bus Stop Jalan 2/90
Bus Stop Klinik Kesihatan Cheras
Bus Stop Stadium Badminton Kuala Lumpur
Bus Stop Stadium Badminton Cheras
Bus Stop 2 Jalan Cheras",No Mall,,No Park,,Got School,"SJK (C) Naam Kheung
Sekolah Menengah Kebangsaan Cheras
Alam Shah Science Secondary School
Sekolah Menengah Kebangsaan Seri Permaisuri",Jalan 1/89A,Taman Ikhsan,Kuala Lumpur
Maxim Residences,3,2,"530,000",Below 750K,Meridian Maxim Sdn Bhd,"Gymnasium, Parking, Security, Swimming Pool, Lift, Playground, Jogging Track",Leasehold,2017,34,542,2,Medium,Non Bumi Lot,Got nearby LRT/MRT,MRT Station Taman Connaught (MRT Sungai Buloh-Kajang Line),No Bus Stop,,Got Mall,Cheras Sentral,Got Park,"Alam Damai Recreational Park, Cheras, Kuala Lumpur, Malaysia",Got School,"SK Seri Anggerik
SMK Orkid Desa
Rocklin Learning Center",Off Taman Len Seng,Cheras,Kuala Lumpur
Desa Green Serviced Apartment,2,2,"480,000",Below 500K,UOA Group,"Multipurpose hall, Swimming Pool, Gymnasium, Security, Playground, Sauna, Parking, Lift, Barbeque area, Minimart",Freehold,2016,486,1388,1,High,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop SMK Desa Perdana
Bus Stop Masjid Al-Muhsirin
Bus Stop Taman Desa (Utara)
Bus Stop SMK Taman Desa",No Mall,,No Park,,Got School,"SMK Desa Perdana
Sekolah Kebangsaan Taman Desa Kuala Lumpur",Jalan Desa Bakti,Taman Desa,Kuala Lumpur
Parkland Residence @ Sungai Melaka,3,2,"548,000",Below 750K,Parkland Group,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",Freehold,2020,-,809,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Tun Perak,Bukit Baru,Melaka
The Heights Residence @ Taman Muzaffar Heights,3,2,"320,000",Below 500K,Scientex Berhad,"Parking, Sauna, Gymnasium, Jogging Track, Barbeque area, Security, Swimming Pool",Leasehold,2018,-,160,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Melaka,Ayer Keroh,Melaka
Apartment Kenanga Mewah,3,2,"200,000",Below 250K,-,Parking,Freehold,-,-,-,-,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman Kenanga Mewah,Kampung Lapan,Melaka
Kenanga (Park View Court),3,2,"250,000",Below 500K,-,"Parking, Security, Swimming Pool, Playground, Barbeque area, Jogging Track",Freehold,-,-,-,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Kenanga 3/8,Melaka City,Melaka
Pangsapuri Bukit Beruang Bestari (University View),3,2,"290,000",Below 500K,-,"Security, Gymnasium, Barbeque area, Parking, Playground, Swimming Pool, Lift",Freehold,-,-,-,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Bukit Beruang,Batu Berendam,Melaka
Kiara Court,3,2,"290,000",Below 500K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track",Leasehold,-,-,-,2,-,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Nilam 3,Nilai,Negeri Sembilan
QuayWest Residence,3,2,"790,000",Below 1M,Asia Green Group,"Playground, Gymnasium, Sauna, Security, Swimming Pool, Parking, Jogging Track, Lift, Barbeque area",Freehold,2021,24,1235,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Persiaran Bayan Indah Off Bayan Mutiara,Batu Uban,Penang
Taman Relau Jaya,2,1,"230,000",Below 250K,-,"Security, Parking",Freehold,-,-,-,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lebuh Relau 3,Sungai Ara,Penang
Mira Residence,3,2,"950,000",Below 1M,BSG Property,"Gymnasium, Barbeque area, Security, Playground, Swimming Pool, Jogging Track",Freehold,2016,32,322,2,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Lembah Permai,Tanjung Bungah,Penang
Sri Pinang (Georgetown),3,2,"230,000",Below 250K,-,"Security, Parking",Leasehold,1993,8,23,-,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,No. 23,Jalan Logan,Penang
Taman Seri Damai,3,2,"295,000",Below 500K,-,"Security, Playground, Parking, Lift, Barbeque area, Multipurpose hall",Leasehold,1989,17,592,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lebuhraya Batu Lanchang,Jelutong,Penang
Straits Regency,4,3,"780,000",Below 1M,-,"Gymnasium, Security, Barbeque area, Parking, Playground, Swimming Pool",Freehold,2006,26,104,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,No. 2,Persiaran Tanjung Bungah 3,Penang
Leader Garden,3,2,"430,000",Below 500K,-,"Swimming Pool, Barbeque area, Parking, Tennis Court, Minimart, Playground, Squash Court, Sauna, Security, Gymnasium, Lift, Club house",Freehold,1998,-,428,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,No 1,Jalan Chee Seng 13,Penang
Eco Bloom @ Eco Meadows,3,2,"500,000",Below 750K,Eco World Development Group Berhad,"Parking, Swimming Pool, Jogging Track, Gymnasium, Security, Lift, Barbeque area, Multipurpose hall",Freehold,2020,33,490,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Paboi,Simpang Ampat,Penang
Relau Vista,3,2,"345,000",Below 500K,Alor Vista Sdn Bhd,"Jogging Track, Minimart, Playground, Parking, Security, Gymnasium, Sauna",Freehold,2008,29,-,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lebuh Relau 6,Bayan Lepas,Penang
Relau Vista,3,2,"345,000",Below 500K,Alor Vista Sdn Bhd,"Gymnasium, Security, Minimart, Jogging Track, Sauna, Parking, Playground",Freehold,2008,29,-,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lebuh Relau 6,Bayan Lepas,Penang
Idaman Seroja,3,2,"276,000",Below 500K,Koperasi Tunas Muda,-,Leasehold,-,-,-,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lintang Sungai Ara 9,Sungai Ara,Penang
Desa Permata Ruby Block 17,3,2,"260,000",Below 500K,-,"Parking, Security",Freehold,1995,11,100,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lintang Paya Terubong 1,Ayer Itam,Penang
Desa Permai Indah Apartment,3,2,"300,000",Below 500K,-,"Playground, Barbeque area, Swimming Pool, Security, Tennis Court, Parking",Leasehold,1997,14,528,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lorong Helang 1,Sungai Dua,Penang
One Imperial,3,2,"555,000",Below 750K,Ideal Property Group,"Gymnasium, Swimming Pool, Parking, Security, Playground, Jogging Track",Freehold,2016,20,771,2,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Off Jalan Dato Ismail Hashim,Sungai Ara,Penang
Grace Residence,2,2,"620,000",Below 750K,Nova Mulia Development Sdn Bhd,"Playground, Swimming Pool, Sauna, Security, Gymnasium, Multipurpose hall, Barbeque area, Parking",Freehold,2018,44,378,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Jelutong,Off Tun Dr. Lim Chong Eu Hwy,Penang
Sierra Residences,3,2,"500,000",Below 750K,GSD Land (M) Sdn Bhd,"Minimart, Playground, Swimming Pool, Multipurpose hall, Gymnasium, Barbeque area, Parking, Security, Sauna",Freehold,2015,25,300,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Fettes,Off Jalan Paya Terubong,Penang
FARLIM 4A FLAT,3,2,"175,000",Below 250K,-,"Parking, Security, Lift, Minimart",Leasehold,-,-,-,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lorong Semarak Api,Ayer Itam,Penang
The Cantonment,3,2,"1,500,000",Above 1M,Malton Berhad Group,"Parking, Security, Playground, Swimming Pool, Gymnasium, Jogging Track, Barbeque area, Sauna",Freehold,2015,32,71,2,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Pulau Tikus,Penang,Penang
U-Garden,3,2,"340,000",Below 500K,-,"Minimart, Swimming Pool, Playground, Gymnasium, Jogging Track, Parking, Security, Barbeque area, Lift, Multipurpose hall",Freehold,1997,28,422,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,No. 50A,Gelugor,Penang
Melody Homes,3,2,"380,000",Below 500K,Belleview Group,"Multipurpose hall, Playground, Barbeque area, Gymnasium, Swimming Pool, Jogging Track, Parking, Security",Freehold,2012,30,500,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lebuhraya Thean Teik,Farlim,Penang
Melody Homes,3,2,"340,000",Below 500K,Belleview Group,"Parking, Playground, Jogging Track, Barbeque area, Swimming Pool, Gymnasium, Multipurpose hall, Security",Freehold,2012,30,500,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lebuhraya Thean Teik,Farlim,Penang
One Foresta @ Bayan Lepas,3,2,"400,000",Below 500K,Ideal Property Group,-,Freehold,2019,42,2685,2,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lengkok Kelicap,Bayan Lepas,Penang
Melody Homes,3,2,"350,000",Below 500K,Belleview Group,"Parking, Playground, Jogging Track, Barbeque area, Swimming Pool, Gymnasium, Multipurpose hall, Security",Freehold,2012,30,500,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lebuhraya Thean Teik,Farlim,Penang
BJ Court Condominium,3,2,"250,000",Below 500K,-,"Jogging Track, Minimart, Playground, Parking, Security, Lift",Freehold,1998,35,-,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Rumbia,Bayan Lepas,Penang
Kejora,3,2,"260,000",Below 500K,-,-,Freehold,-,-,-,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,4,Cangkat Bukit Belah 3,Penang
Eco Bloom @ Eco Meadows,2,2,"399,000",Below 500K,Eco World Development Group Berhad,"Gymnasium, Barbeque area, Lift, Jogging Track, Multipurpose hall, Parking, Security, Swimming Pool",Freehold,2020,33,490,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Paboi,Simpang Ampat,Penang
Palm Palladium,4,2,"645,000",Below 750K,Harta Intan Construction Sdn. Bhd.,"Security, Multipurpose hall, Parking, Barbeque area, Playground, Gymnasium",Freehold,2008,28,134,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Gelugor,Gelugor,Penang
Sunshine Tower,3,2,"550,000",Below 750K,Stallions,"Security, Parking, Minimart",Freehold,1999,9,36,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,No. 97,Jalan Thomas,Penang
Pinang Emas Flat,3,1,"135,000",Below 250K,-,"Parking, Lift",Freehold,2005,20,-,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Sungai Satu,Batu Ferringhi,Penang
Taman Sungai Batu,2,1,"125,000",Below 250K,-,-,Freehold,-,-,-,-,High,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Tingkat Sungai Batu,Teluk Kumbar,Penang
Luminari,2,2,"480,000",Below 500K,OSK Property Holdings Berhad,"Jogging Track, Security, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall, Parking, Lift, Playground, Sauna",Freehold,2020,34,462,2,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Chain Ferry,Seberai Perai Utara,Penang
Relau Vista,3,2,"320,000",Below 500K,Alor Vista Sdn Bhd,"Gymnasium, Parking, Minimart, Playground, Jogging Track, Sauna, Security",Freehold,2008,29,-,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lebuh Relau 6,Bayan Lepas,Penang
Relau Vista,3,2,"303,000",Below 500K,Alor Vista Sdn Bhd,"Gymnasium, Security, Minimart, Jogging Track, Sauna, Parking, Playground",Freehold,2008,29,-,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lebuh Relau 6,Bayan Lepas,Penang
Kingfisher Series Condominium,3,2,"320,000",Below 500K,Hunza Properties Berhad,-,Freehold,1998,21,406,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,No. 9-10,Jalan Gangsa,Penang
Raffel Tower,3,3,"978,000",Below 1M,BSG Property,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Freehold,2015,29,260,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,1 Off Jalan Bukit Gambir,Bukit Gambir,Penang
Vista Perdana (Butterworth),3,2,"270,000",Below 500K,-,"Parking, Security, Lift, Gymnasium, Playground, Jogging Track",Leasehold,-,-,-,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Off Jalan Bagan Jermal,Kampung Gajah,Penang
The Park @ Mak Mandin,3,2,"360,000",Below 500K,Silver Channel Sdn. Bhd. (Tamarins Group),-,Freehold,2020,14,780,1,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Mak Mandin,Butterworth,Penang
Damai Vista Apartment,3,2,"370,000",Below 500K,OHM Group,"Parking, Security",Freehold,-,18,112,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Damai,Jelutong,Penang
Relau Vista,3,2,"350,000",Below 500K,Alor Vista Sdn Bhd,"Security, Sauna, Playground, Parking, Minimart, Gymnasium, Jogging Track",Freehold,2008,29,-,-,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lebuh Relau 6,Bayan Lepas,Penang
Taman Kheng Tian,3,2,"335,000",Below 500K,Belleview Group,"Security, Parking, Lift",Freehold,2006,20,-,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Van Praagh,Jelutong,Penang
Sun Moon City,3,2,"200,000",Below 250K,-,"Security, Lift, Playground, Jogging Track",Freehold,-,-,-,-,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Tingkat Paya Terubong 4,Ayer Itam,Penang
The Golden Triangle,3,2,"620,000",Below 750K,GSV Development Sdn Bhd,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track",Freehold,2021,-,406,2,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Paya Terubong,Off Jalan Dato Ismail Hashim,Penang
Casa Impian,3,2,"420,000",Below 500K,-,"Swimming Pool, Squash Court, Parking, Security, Tennis Court, Playground",Freehold,2006,18,182,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,No. 78,Jalan Ooi Thiam Siew,Penang
Halaman Kristal,3,2,"530,000",Below 750K,-,-,Freehold,2001,31,360,2,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lengkok Free School,Jelutong,Penang
Azuria,3,2,"320,000",Below 500K,-,"Swimming Pool, Tennis Court, Security, Parking, Playground, Lift",Freehold,1999,16,476,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,No. 18,Jalan Lembah Permai,Penang
Medan Mutiara,3,2,"295,000",Below 500K,-,"Minimart, Playground, Parking, Security, Lift",Freehold,-,5,-,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lebuh Nipah 1,Off Jalan Sultan Azlan Shah,Penang
The Clovers,3,2,"620,000",Below 750K,Asia Green Group,"Security, Swimming Pool, Gymnasium, Parking, Lift, Playground, Multipurpose hall",Freehold,2017,42,670,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Merbah Off Jalan Dato Ismail Hashim,Sungai Ara,Penang
BM Residence,3,2,"380,000",Below 500K,Tambun Indah Land Berhad,"Jogging Track, Playground, Swimming Pool",Freehold,2017,11,147,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman Manggis Indah,Bukit Mertajam,Penang
Desa Airmas,3,2,"530,000",Below 750K,Airmas Group,-,Freehold,2007,20,224,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,2A - 2B,Jalan Helang,Penang
Taman Paya Terubong,3,2,"300,000",Below 500K,-,-,Freehold,-,-,-,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Tingkat Paya Terubong 3,Paya Terubong,Penang
Shineville Park,4,2,"550,000",Below 750K,Zantalite Enterprise (M) Sdn Bhd,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",Freehold,-,24,234,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Off Jalan Taman Thean Teik 2,Ayer Itam,Penang
Widuri Apartment (Butterworth),3,2,"190,000",Below 250K,Harta Intan,-,Leasehold,-,-,-,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Lorong Widuri 1,,Penang
Mutiara Vista,3,2,"320,000",Below 500K,Syarikat Perumahan Negara Berhad,"Parking, Security, Lift",Freehold,-,27,454,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Jelutong,Jelutong,Penang
Andaman @ Quayside,3,4,"2,680,000",Above 1M,Eastern & Oriental Berhad,"Security, Gymnasium, Jogging Track, Club house, Playground, Tennis Court, Multipurpose hall, Swimming Pool, Barbeque area, Lift, Parking",Freehold,2017,25,298,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Off Jalan Seri Tanjung Pinang,Seri Tanjung Pinang,Penang
